"T","L","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,"Auto-MICH","\textsuperscript{}0.649","\textsuperscript{}6.945","\textsuperscript{}3.019","\textsuperscript{\ddag}1.541","2.186","0.927","0.799"
100,2,"Ora-MICH","\textsuperscript{*}0.002","\textsuperscript{*}2.366","\textsuperscript{*}0.534","\textsuperscript{*}0.603","1.616","0.935","0.017"
100,2,"H-SMUCE (0.1)","\textsuperscript{\dag\ddag}0.183","\textsuperscript{\ddag}5.697","\textsuperscript{\dag\ddag}1.459","\textsuperscript{}2.045","20.591","0.960","0.021"
100,2,"H-SMUCE (0.5)","\textsuperscript{}0.422","\textsuperscript{}9.174","\textsuperscript{}3.023","\textsuperscript{}1.903","14.437","0.922","0.059"
100,2,"MOSUM BUM","\textsuperscript{}0.526","\textsuperscript{}9.584","\textsuperscript{}3.415","\textsuperscript{}1.944","12.063","0.904","0.018"
100,2,"MOSUM LP","\textsuperscript{}1.236","\textsuperscript{}11.757","\textsuperscript{}5.304","\textsuperscript{}2.817","10.499","0.965","0.018"
100,2,"PELT","\textsuperscript{}0.660","\textsuperscript{\dag}5.227","\textsuperscript{}2.752","\textsuperscript{\dag}1.077","","","0.002"
100,2,"NOT","\textsuperscript{}1.244","\textsuperscript{}9.390","\textsuperscript{}4.630","\textsuperscript{}2.383","","","0.050"
100,2,"NSP","\textsuperscript{}0.627","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","37.036","1.000","3.631"
100,5,"Auto-MICH","\textsuperscript{}0.477","\textsuperscript{\ddag}5.184","\textsuperscript{}0.841","\textsuperscript{\ddag}0.834","1.263","0.972","1.350"
100,5,"Ora-MICH","\textsuperscript{*}0.024","\textsuperscript{}4.999","\textsuperscript{*}0.619","\textsuperscript{}0.765","1.217","0.971","0.122"
100,5,"H-SMUCE (0.1)","\textsuperscript{}1.384","\textsuperscript{}16.187","\textsuperscript{}2.777","\textsuperscript{}4.547","13.575","0.802","0.022"
100,5,"H-SMUCE (0.5)","\textsuperscript{\dag\ddag}0.392","\textsuperscript{}6.963","\textsuperscript{\ddag}0.839","\textsuperscript{}1.331","11.624","0.940","0.058"
100,5,"MOSUM BUM","\textsuperscript{}1.095","\textsuperscript{}15.245","\textsuperscript{}2.388","\textsuperscript{}3.586","21.753","0.990","0.021"
100,5,"MOSUM LP","\textsuperscript{}0.700","\textsuperscript{}6.101","\textsuperscript{}1.140","\textsuperscript{}0.865","13.450","0.996","0.024"
100,5,"PELT","\textsuperscript{}0.854","\textsuperscript{}4.632","\textsuperscript{}1.103","\textsuperscript{}0.591","","","0.003"
100,5,"NOT","\textsuperscript{}0.459","\textsuperscript{*\dag}3.800","\textsuperscript{\dag}0.664","\textsuperscript{*\dag}0.503","","","0.050"
100,5,"NSP","\textsuperscript{}3.348","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","35.082","1.000","3.750"
500,2,"Auto-MICH","\textsuperscript{}0.771","\textsuperscript{\ddag}31.421","\textsuperscript{\ddag}17.343","\textsuperscript{\ddag}7.289","5.438","0.826","7.655"
500,2,"Ora-MICH","\textsuperscript{*}0.005","\textsuperscript{*}10.715","\textsuperscript{*}2.872","\textsuperscript{*}3.309","3.818","0.842","0.130"
500,2,"H-SMUCE (0.1)","\textsuperscript{}0.598","\textsuperscript{}55.754","\textsuperscript{}21.987","\textsuperscript{}12.754","49.851","0.967","0.033"
500,2,"H-SMUCE (0.5)","\textsuperscript{}2.173","\textsuperscript{}101.424","\textsuperscript{}50.963","\textsuperscript{}26.170","35.314","0.916","0.067"
500,2,"MOSUM BUM","\textsuperscript{}5.252","\textsuperscript{}115.660","\textsuperscript{}72.317","\textsuperscript{}39.368","41.552","0.943","0.069"
500,2,"MOSUM LP","\textsuperscript{}7.923","\textsuperscript{}114.569","\textsuperscript{}77.307","\textsuperscript{}39.577","21.692","0.923","0.067"
500,2,"PELT","\textsuperscript{}0.312","\textsuperscript{\dag}15.736","\textsuperscript{\dag}8.058","\textsuperscript{\dag}3.349","","","0.009"
500,2,"NOT","\textsuperscript{}1.229","\textsuperscript{}41.383","\textsuperscript{}23.690","\textsuperscript{}10.016","","","0.140"
500,2,"NSP","\textsuperscript{\dag\ddag}0.187","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","90.458","1.000","10.869"
500,5,"Auto-MICH","\textsuperscript{}0.727","\textsuperscript{\ddag}26.750","\textsuperscript{}6.203","\textsuperscript{\ddag}4.144","3.121","0.871","13.441"
500,5,"Ora-MICH","\textsuperscript{*}0.042","\textsuperscript{}26.191","\textsuperscript{}4.134","\textsuperscript{}5.120","2.727","0.874","0.964"
500,5,"H-SMUCE (0.1)","\textsuperscript{\dag\ddag}0.385","\textsuperscript{}30.606","\textsuperscript{\ddag}5.018","\textsuperscript{}5.008","33.757","0.972","0.034"
500,5,"H-SMUCE (0.5)","\textsuperscript{}1.267","\textsuperscript{}51.333","\textsuperscript{}12.698","\textsuperscript{}6.821","25.297","0.940","0.067"
500,5,"MOSUM BUM","\textsuperscript{}3.476","\textsuperscript{}62.738","\textsuperscript{}22.576","\textsuperscript{}11.011","34.266","0.963","0.076"
500,5,"MOSUM LP","\textsuperscript{}5.726","\textsuperscript{}67.765","\textsuperscript{}27.195","\textsuperscript{}13.782","20.206","0.967","0.069"
500,5,"PELT","\textsuperscript{}0.429","\textsuperscript{*\dag}15.934","\textsuperscript{*\dag}3.642","\textsuperscript{*\dag}2.135","","","0.009"
