"T","L","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
500,5,"NOT","\textsuperscript{}1.034","\textsuperscript{}25.837","\textsuperscript{}7.444","\textsuperscript{}3.623","","","0.144"
500,5,"NSP","\textsuperscript{}1.338","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","69.955","1.000","14.180"
1000,2,"Auto-MICH","\textsuperscript{}0.809","\textsuperscript{\ddag}54.233","\textsuperscript{\ddag}34.467","\textsuperscript{\ddag}12.779","7.590","0.800","16.332"
1000,2,"Ora-MICH","\textsuperscript{*}0.008","\textsuperscript{*}17.220","\textsuperscript{*}4.823","\textsuperscript{}6.128","5.385","0.812","0.351"
1000,2,"H-SMUCE (0.1)","\textsuperscript{}1.007","\textsuperscript{}147.138","\textsuperscript{}64.881","\textsuperscript{}33.285","82.532","0.967","0.044"
1000,2,"H-SMUCE (0.5)","\textsuperscript{}3.373","\textsuperscript{}229.631","\textsuperscript{}128.264","\textsuperscript{}67.854","52.581","0.914","0.078"
1000,2,"MOSUM BUM","\textsuperscript{}4.037","\textsuperscript{}218.963","\textsuperscript{}131.434","\textsuperscript{}66.943","71.812","0.954","0.130"
1000,2,"MOSUM LP","\textsuperscript{}14.724","\textsuperscript{}249.611","\textsuperscript{}180.790","\textsuperscript{}94.650","25.236","0.883","0.295"
1000,2,"PELT","\textsuperscript{\dag}0.216","\textsuperscript{\dag}23.093","\textsuperscript{\dag}11.806","\textsuperscript{*\dag}5.094","","","0.017"
1000,2,"NOT","\textsuperscript{}0.984","\textsuperscript{}69.270","\textsuperscript{}40.036","\textsuperscript{}16.226","","","0.246"
1000,2,"NSP","\textsuperscript{\ddag}0.244","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","145.666","1.000","17.566"
1000,5,"Auto-MICH","\textsuperscript{}0.752","\textsuperscript{\ddag}46.834","\textsuperscript{\ddag}12.380","\textsuperscript{\ddag}7.002","4.553","0.828","26.944"
1000,5,"Ora-MICH","\textsuperscript{*}0.056","\textsuperscript{}48.197","\textsuperscript{}8.102","\textsuperscript{}10.103","4.003","0.833","2.699"
1000,5,"H-SMUCE (0.1)","\textsuperscript{\ddag}0.612","\textsuperscript{}76.134","\textsuperscript{}15.667","\textsuperscript{}10.590","51.115","0.976","0.044"
1000,5,"H-SMUCE (0.5)","\textsuperscript{}2.398","\textsuperscript{}124.001","\textsuperscript{}38.747","\textsuperscript{}18.840","38.674","0.936","0.077"
1000,5,"MOSUM BUM","\textsuperscript{}2.751","\textsuperscript{}119.866","\textsuperscript{}40.524","\textsuperscript{}19.161","64.335","0.973","0.166"
1000,5,"MOSUM LP","\textsuperscript{}11.548","\textsuperscript{}155.310","\textsuperscript{}73.463","\textsuperscript{}36.615","24.708","0.934","0.376"
1000,5,"PELT","\textsuperscript{\dag}0.328","\textsuperscript{*\dag}25.897","\textsuperscript{*\dag}5.986","\textsuperscript{*\dag}3.571","","","0.017"
1000,5,"NOT","\textsuperscript{}0.870","\textsuperscript{}44.822","\textsuperscript{}13.281","\textsuperscript{}6.086","","","0.252"
1000,5,"NSP","\textsuperscript{}0.732","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","103.073","1.000","22.018"
1000,10,"Auto-MICH","\textsuperscript{}0.815","\textsuperscript{}39.548","\textsuperscript{}5.072","\textsuperscript{}4.138","3.000","0.850","52.075"
1000,10,"Ora-MICH","\textsuperscript{*}0.125","\textsuperscript{}62.608","\textsuperscript{}6.214","\textsuperscript{}8.088","2.958","0.852","10.903"
1000,10,"H-SMUCE (0.1)","\textsuperscript{\dag\ddag}0.343","\textsuperscript{\ddag}35.573","\textsuperscript{\ddag}3.197","\textsuperscript{\ddag}3.491","39.565","0.979","0.046"
1000,10,"H-SMUCE (0.5)","\textsuperscript{}1.228","\textsuperscript{}52.427","\textsuperscript{}7.785","\textsuperscript{}4.330","28.883","0.950","0.078"
1000,10,"MOSUM BUM","\textsuperscript{}1.053","\textsuperscript{}53.169","\textsuperscript{}7.635","\textsuperscript{}4.758","79.771","0.998","0.226"
1000,10,"MOSUM LP","\textsuperscript{}9.038","\textsuperscript{}96.257","\textsuperscript{}26.425","\textsuperscript{}15.748","23.804","0.966","0.393"
1000,10,"PELT","\textsuperscript{}0.374","\textsuperscript{*\dag}20.128","\textsuperscript{*\dag}2.597","\textsuperscript{*\dag}1.605","","","0.017"
1000,10,"NOT","\textsuperscript{}0.619","\textsuperscript{}25.452","\textsuperscript{}3.680","\textsuperscript{}2.130","","","0.253"
1000,10,"NSP","\textsuperscript{}3.058","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","85.841","1.000","27.522"
