"T","L","min_space","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
1000,2,50,"Auto-MICH","\textsuperscript{}0.036","\textsuperscript{}8.061","\textsuperscript{}2.730","\textsuperscript{}2.577","5.565","0.924","2.680"
1000,2,50,"Ora-MICH","\textsuperscript{*}0.003","\textsuperscript{}5.754","\textsuperscript{*}1.221","\textsuperscript{}1.394","5.385","0.925","0.145"
1000,2,50,"H-SMUCE (0.1)","\textsuperscript{\ddag}0.016","\textsuperscript{\ddag}7.575","\textsuperscript{\ddag}2.045","\textsuperscript{\ddag}1.475","90.608","0.999","0.047"
1000,2,50,"H-SMUCE (0.5)","\textsuperscript{}0.182","\textsuperscript{}31.610","\textsuperscript{}12.730","\textsuperscript{}5.594","62.755","0.995","0.078"
1000,2,50,"MOSUM BUM","\textsuperscript{}0.214","\textsuperscript{}35.690","\textsuperscript{}13.667","\textsuperscript{}8.758","41.798","0.989","0.060"
1000,2,50,"MOSUM LP","\textsuperscript{}0.679","\textsuperscript{}54.869","\textsuperscript{}27.766","\textsuperscript{}13.830","26.994","0.982","0.053"
1000,2,50,"PELT","\textsuperscript{}0.014","\textsuperscript{*\dag}5.247","\textsuperscript{}1.522","\textsuperscript{*\dag}1.006","","","0.017"
1000,2,50,"NOT","\textsuperscript{\dag}0.008","\textsuperscript{}5.404","\textsuperscript{\dag}1.340","\textsuperscript{}1.032","","","0.244"
1000,2,50,"NSP","\textsuperscript{}0.081","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","142.772","1.000","16.833"
1000,5,30,"Auto-MICH","\textsuperscript{}0.133","\textsuperscript{}12.730","\textsuperscript{}2.045","\textsuperscript{}3.331","3.529","0.939","5.172"
1000,5,30,"Ora-MICH","\textsuperscript{}0.059","\textsuperscript{}10.500","\textsuperscript{}1.417","\textsuperscript{}2.516","3.432","0.940","1.184"
1000,5,30,"H-SMUCE (0.1)","\textsuperscript{}0.118","\textsuperscript{\ddag}11.494","\textsuperscript{\ddag}1.563","\textsuperscript{}2.819","63.992","0.981","0.048"
1000,5,30,"H-SMUCE (0.5)","\textsuperscript{\ddag}0.113","\textsuperscript{}15.943","\textsuperscript{}3.181","\textsuperscript{\ddag}1.697","43.950","0.994","0.078"
1000,5,30,"MOSUM BUM","\textsuperscript{}0.210","\textsuperscript{}24.164","\textsuperscript{}4.614","\textsuperscript{}4.365","54.762","0.987","0.117"
1000,5,30,"MOSUM LP","\textsuperscript{}0.790","\textsuperscript{}58.547","\textsuperscript{}13.451","\textsuperscript{}12.453","23.490","0.991","0.067"
1000,5,30,"PELT","\textsuperscript{}0.024","\textsuperscript{*\dag}5.395","\textsuperscript{}0.968","\textsuperscript{}0.669","","","0.017"
1000,5,30,"NOT","\textsuperscript{*\dag}0.009","\textsuperscript{}5.463","\textsuperscript{*\dag}0.763","\textsuperscript{*\dag}0.658","","","0.251"
1000,5,30,"NSP","\textsuperscript{}1.035","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","111.560","1.000","21.270"
1000,5,50,"Auto-MICH","\textsuperscript{}0.094","\textsuperscript{}10.987","\textsuperscript{}1.850","\textsuperscript{}2.263","3.683","0.933","4.844"
1000,5,50,"Ora-MICH","\textsuperscript{}0.039","\textsuperscript{}10.076","\textsuperscript{}1.314","\textsuperscript{}1.956","3.603","0.935","1.092"
1000,5,50,"H-SMUCE (0.1)","\textsuperscript{\ddag}0.043","\textsuperscript{\ddag}9.224","\textsuperscript{\ddag}1.209","\textsuperscript{}1.512","64.677","0.995","0.048"
1000,5,50,"H-SMUCE (0.5)","\textsuperscript{}0.102","\textsuperscript{}14.312","\textsuperscript{}2.718","\textsuperscript{\ddag}1.489","43.846","0.995","0.080"
1000,5,50,"MOSUM BUM","\textsuperscript{}0.146","\textsuperscript{}17.999","\textsuperscript{}3.562","\textsuperscript{}2.300","49.614","0.997","0.123"
1000,5,50,"MOSUM LP","\textsuperscript{}0.787","\textsuperscript{}59.874","\textsuperscript{}13.231","\textsuperscript{}12.152","23.970","0.991","0.068"
1000,5,50,"PELT","\textsuperscript{}0.026","\textsuperscript{*\dag}5.672","\textsuperscript{}0.999","\textsuperscript{*\dag}0.705","","","0.017"
1000,5,50,"NOT","\textsuperscript{*\dag}0.009","\textsuperscript{}5.793","\textsuperscript{*\dag}0.821","\textsuperscript{}0.715","","","0.252"
1000,5,50,"NSP","\textsuperscript{}0.783","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","112.256","1.000","22.079"
1000,10,30,"Auto-MICH","\textsuperscript{}0.411","\textsuperscript{}21.607","\textsuperscript{}1.831","\textsuperscript{}3.539","2.539","0.942","11.420"
1000,10,30,"Ora-MICH","\textsuperscript{}0.194","\textsuperscript{}18.071","\textsuperscript{}1.457","\textsuperscript{}2.410","2.525","0.943","4.796"
1000,10,30,"H-SMUCE (0.1)","\textsuperscript{}0.645","\textsuperscript{}28.032","\textsuperscript{}2.228","\textsuperscript{}4.696","47.512","0.943","0.050"
1000,10,30,"H-SMUCE (0.5)","\textsuperscript{\ddag}0.140","\textsuperscript{\ddag}11.707","\textsuperscript{\ddag}1.078","\textsuperscript{\ddag}1.136","35.031","0.988","0.080"
1000,10,30,"MOSUM BUM","\textsuperscript{}0.498","\textsuperscript{}31.897","\textsuperscript{}2.930","\textsuperscript{}4.704","81.425","0.999","0.194"
1000,10,30,"MOSUM LP","\textsuperscript{}0.998","\textsuperscript{}57.885","\textsuperscript{}6.822","\textsuperscript{}8.713","21.921","0.997","0.089"
1000,10,30,"PELT","\textsuperscript{}0.034","\textsuperscript{*\dag}5.093","\textsuperscript{}0.551","\textsuperscript{}0.434","","","0.017"
1000,10,30,"NOT","\textsuperscript{*\dag}0.008","\textsuperscript{}5.208","\textsuperscript{*\dag}0.461","\textsuperscript{*\dag}0.433","","","0.252"
1000,10,30,"NSP","\textsuperscript{}3.734","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","91.141","1.000","26.140"
1000,10,50,"Auto-MICH","\textsuperscript{}0.252","\textsuperscript{}17.505","\textsuperscript{}1.552","\textsuperscript{}2.251","2.665","0.936","11.365"
1000,10,50,"Ora-MICH","\textsuperscript{}0.110","\textsuperscript{}16.280","\textsuperscript{}1.268","\textsuperscript{}1.795","2.643","0.937","4.442"
1000,10,50,"H-SMUCE (0.1)","\textsuperscript{}0.285","\textsuperscript{}21.714","\textsuperscript{}1.583","\textsuperscript{}2.744","49.112","0.978","0.050"
1000,10,50,"H-SMUCE (0.5)","\textsuperscript{\ddag}0.053","\textsuperscript{\ddag}8.219","\textsuperscript{\ddag}0.767","\textsuperscript{\ddag}0.666","35.455","0.997","0.081"
1000,10,50,"MOSUM BUM","\textsuperscript{}0.153","\textsuperscript{}15.538","\textsuperscript{}1.454","\textsuperscript{}1.597","83.603","1.000","0.212"
1000,10,50,"MOSUM LP","\textsuperscript{}0.974","\textsuperscript{}60.501","\textsuperscript{}6.737","\textsuperscript{}8.601","22.335","0.996","0.090"
1000,10,50,"PELT","\textsuperscript{}0.034","\textsuperscript{*\dag}5.451","\textsuperscript{}0.602","\textsuperscript{*\dag}0.471","","","0.017"
1000,10,50,"NOT","\textsuperscript{*\dag}0.009","\textsuperscript{}5.555","\textsuperscript{*\dag}0.507","\textsuperscript{}0.479","","","0.253"
1000,10,50,"NSP","\textsuperscript{}3.208","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","90.513","1.000","27.481"
