"T","L","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
1000,2,"H-SMUCE (0.5)","\textsuperscript{}0.901","\textsuperscript{}125.229","\textsuperscript{}55.964","\textsuperscript{}27.118","72.780","0.971","0.077"
1000,2,"MOSUM BUM","\textsuperscript{}1.312","\textsuperscript{}126.434","\textsuperscript{}64.151","\textsuperscript{}30.024","59.583","0.972","0.082"
1000,2,"MOSUM LP","\textsuperscript{}4.714","\textsuperscript{}186.456","\textsuperscript{}121.508","\textsuperscript{}53.770","27.795","0.933","0.089"
1000,2,"PELT","\textsuperscript{\dag}0.031","\textsuperscript{*\dag}8.907","\textsuperscript{*\dag}2.730","\textsuperscript{*\dag}2.190","","","0.016"
1000,2,"NOT","\textsuperscript{}0.092","\textsuperscript{}14.851","\textsuperscript{}5.994","\textsuperscript{}3.069","","","0.246"
1000,2,"NSP","\textsuperscript{\ddag}0.133","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","143.379","1.000","16.905"
1000,5,"Auto-MICH","\textsuperscript{\ddag}0.249","\textsuperscript{\ddag}24.408","\textsuperscript{\ddag}4.382","\textsuperscript{\ddag}4.491","3.880","0.895","18.908"
1000,5,"Ora-MICH","\textsuperscript{*}0.072","\textsuperscript{}23.691","\textsuperscript{}3.316","\textsuperscript{}4.792","3.699","0.897","2.331"
1000,5,"H-SMUCE (0.1)","\textsuperscript{}0.263","\textsuperscript{}36.712","\textsuperscript{}4.875","\textsuperscript{}7.483","56.904","0.993","0.045"
1000,5,"H-SMUCE (0.5)","\textsuperscript{}0.564","\textsuperscript{}64.097","\textsuperscript{}13.167","\textsuperscript{}8.576","42.447","0.980","0.076"
1000,5,"MOSUM BUM","\textsuperscript{}0.930","\textsuperscript{}70.545","\textsuperscript{}17.722","\textsuperscript{}9.612","54.458","0.984","0.135"
1000,5,"MOSUM LP","\textsuperscript{}3.838","\textsuperscript{}128.114","\textsuperscript{}45.721","\textsuperscript{}24.679","25.776","0.967","0.110"
1000,5,"PELT","\textsuperscript{\dag}0.084","\textsuperscript{*\dag}13.922","\textsuperscript{*\dag}2.027","\textsuperscript{*\dag}2.317","","","0.016"
1000,5,"NOT","\textsuperscript{}0.116","\textsuperscript{}16.313","\textsuperscript{}2.747","\textsuperscript{}2.414","","","0.253"
1000,5,"NSP","\textsuperscript{}0.847","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","105.558","1.000","21.756"
1000,10,"Auto-MICH","\textsuperscript{}0.386","\textsuperscript{}25.067","\textsuperscript{}2.485","\textsuperscript{}2.892","2.763","0.902","37.159"
1000,10,"Ora-MICH","\textsuperscript{}0.145","\textsuperscript{}33.488","\textsuperscript{}2.792","\textsuperscript{}3.791","2.774","0.903","10.197"
1000,10,"H-SMUCE (0.1)","\textsuperscript{}0.336","\textsuperscript{}28.306","\textsuperscript{\ddag}2.051","\textsuperscript{}3.390","44.371","0.984","0.047"
1000,10,"H-SMUCE (0.5)","\textsuperscript{\ddag}0.268","\textsuperscript{\ddag}23.731","\textsuperscript{}2.272","\textsuperscript{\ddag}1.965","31.850","0.988","0.078"
1000,10,"MOSUM BUM","\textsuperscript{}0.447","\textsuperscript{}32.172","\textsuperscript{}3.592","\textsuperscript{}2.981","79.638","0.999","0.217"
1000,10,"MOSUM LP","\textsuperscript{}3.122","\textsuperscript{}85.572","\textsuperscript{}15.577","\textsuperscript{}11.610","23.532","0.984","0.129"
1000,10,"PELT","\textsuperscript{*\dag}0.091","\textsuperscript{*\dag}10.693","\textsuperscript{*\dag}1.043","\textsuperscript{*\dag}0.947","","","0.016"
1000,10,"NOT","\textsuperscript{}0.096","\textsuperscript{}11.952","\textsuperscript{}1.119","\textsuperscript{}1.031","","","0.254"
1000,10,"NSP","\textsuperscript{}3.172","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","87.443","1.000","27.394"
